proj,algo,exp,iter,tp,tn,fp,fn,F1,fpr,fnr,recall,tnr,precision,auc,G,accuracy,Gmean,balance
f1,ga,1,1,0.0,9.0,1.0,11.0,0.0,0.1,1.0,0.0,0.9,0.0,0.45,0.0,0.42857142857142855,0.0,0.2893664798224054
f1,ibea,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,1,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f2,ga,2,1,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,ibea,2,1,21.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f2,nsga2,2,1,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f2,nsga3,2,1,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f2,rs,2,1,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,spea2,2,1,21.0,1.0,3.0,0.0,0.9333333333333333,0.75,0.0,1.0,0.25,0.875,0.625,0.5,0.88,0.9354143466934853,0.4696699141100894
f3,ga,3,1,5.0,10.0,6.0,0.0,0.625,0.375,0.0,1.0,0.625,0.45454545454545453,0.8125,0.7905694150420949,0.7142857142857143,0.674199862463242,0.7348349570550448
f3,ibea,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,nsga2,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,nsga3,3,1,5.0,10.0,6.0,0.0,0.625,0.375,0.0,1.0,0.625,0.45454545454545453,0.8125,0.7905694150420949,0.7142857142857143,0.674199862463242,0.7348349570550448
f3,rs,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,spea2,3,1,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,ga,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,2,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,2,2.0,10.0,0.0,9.0,0.3076923076923077,0.0,0.8181818181818182,0.18181818181818182,1.0,1.0,0.5909090909090909,0.4264014327112209,0.5714285714285714,0.7254762501100116,0.42145808812009755
f2,ga,2,2,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,ibea,2,2,14.0,2.0,2.0,7.0,0.7567567567567567,0.5,0.3333333333333333,0.6666666666666666,0.5,0.875,0.5833333333333333,0.5773502691896257,0.64,0.4409585518440984,0.5750817072006014
f2,nsga2,2,2,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,nsga3,2,2,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,rs,2,2,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,spea2,2,2,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f3,ga,3,2,5.0,12.0,4.0,0.0,0.7142857142857143,0.25,0.0,1.0,0.75,0.5555555555555556,0.875,0.8660254037844386,0.8095238095238095,0.7453559924999299,0.8232233047033631
f3,ibea,3,2,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,nsga2,3,2,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,nsga3,3,2,0.0,16.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.7619047619047619,0.0,0.29289321881345254
f3,rs,3,2,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,spea2,3,2,5.0,14.0,2.0,0.0,0.8333333333333333,0.125,0.0,1.0,0.875,0.7142857142857143,0.9375,0.9354143466934853,0.9047619047619048,0.8451542547285166,0.9116116523516815
f1,ga,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,3,6.0,10.0,0.0,5.0,0.7058823529411764,0.0,0.45454545454545453,0.5454545454545454,1.0,1.0,0.7727272727272727,0.7385489458759964,0.7619047619047619,0.816496580927726,0.6785878267333875
f1,nsga3,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,3,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f2,ga,2,3,3.0,4.0,0.0,18.0,0.25,0.0,0.8571428571428571,0.14285714285714285,1.0,1.0,0.5714285714285714,0.3779644730092272,0.28,0.4264014327112209,0.3939084732686735
f2,ibea,2,3,14.0,2.0,2.0,7.0,0.7567567567567567,0.5,0.3333333333333333,0.6666666666666666,0.5,0.875,0.5833333333333333,0.5773502691896257,0.64,0.4409585518440984,0.5750817072006014
f2,nsga2,2,3,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,nsga3,2,3,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,rs,2,3,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,spea2,2,3,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f3,ga,3,3,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,ibea,3,3,5.0,9.0,7.0,0.0,0.5882352941176471,0.4375,0.0,1.0,0.5625,0.4166666666666667,0.78125,0.75,0.6666666666666666,0.6454972243679028,0.6906407832308854
f3,nsga2,3,3,5.0,13.0,3.0,0.0,0.7692307692307693,0.1875,0.0,1.0,0.8125,0.625,0.90625,0.9013878188659973,0.8571428571428571,0.7905694150420949,0.8674174785275224
f3,nsga3,3,3,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,rs,3,3,5.0,13.0,3.0,0.0,0.7692307692307693,0.1875,0.0,1.0,0.8125,0.625,0.90625,0.9013878188659973,0.8571428571428571,0.7905694150420949,0.8674174785275224
f3,spea2,3,3,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,ga,1,4,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,4,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,4,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,4,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,4,0.0,9.0,1.0,11.0,0.0,0.1,1.0,0.0,0.9,0.0,0.45,0.0,0.42857142857142855,0.0,0.2893664798224054
f1,spea2,1,4,7.0,10.0,0.0,4.0,0.7777777777777778,0.0,0.36363636363636365,0.6363636363636364,1.0,1.0,0.8181818181818181,0.7977240352174656,0.8095238095238095,0.8451542547285166,0.74287026138671
f2,ga,2,4,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,ibea,2,4,4.0,4.0,0.0,17.0,0.32,0.0,0.8095238095238095,0.19047619047619047,1.0,1.0,0.5952380952380952,0.4364357804719847,0.32,0.4364357804719847,0.42758022475374724
f2,nsga2,2,4,21.0,0.0,4.0,0.0,0.9130434782608696,1.0,0.0,1.0,0.0,0.84,0.5,0.0,0.84,0.0,0.29289321881345254
f2,nsga3,2,4,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,rs,2,4,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,spea2,2,4,4.0,4.0,0.0,17.0,0.32,0.0,0.8095238095238095,0.19047619047619047,1.0,1.0,0.5952380952380952,0.4364357804719847,0.32,0.4364357804719847,0.42758022475374724
f3,ga,3,4,5.0,13.0,3.0,0.0,0.7692307692307693,0.1875,0.0,1.0,0.8125,0.625,0.90625,0.9013878188659973,0.8571428571428571,0.7905694150420949,0.8674174785275224
f3,ibea,3,4,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,nsga2,3,4,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,nsga3,3,4,5.0,12.0,4.0,0.0,0.7142857142857143,0.25,0.0,1.0,0.75,0.5555555555555556,0.875,0.8660254037844386,0.8095238095238095,0.7453559924999299,0.8232233047033631
f3,rs,3,4,0.0,16.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.7619047619047619,0.0,0.29289321881345254
f3,spea2,3,4,5.0,12.0,4.0,0.0,0.7142857142857143,0.25,0.0,1.0,0.75,0.5555555555555556,0.875,0.8660254037844386,0.8095238095238095,0.7453559924999299,0.8232233047033631
f1,ga,1,5,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,5,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,5,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,5,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,5,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,5,5.0,10.0,0.0,6.0,0.625,0.0,0.5454545454545454,0.45454545454545453,1.0,1.0,0.7272727272727273,0.674199862463242,0.7142857142857143,0.7905694150420949,0.614305392080065
f2,ga,2,5,14.0,2.0,2.0,7.0,0.7567567567567567,0.5,0.3333333333333333,0.6666666666666666,0.5,0.875,0.5833333333333333,0.5773502691896257,0.64,0.4409585518440984,0.5750817072006014
f2,ibea,2,5,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,nsga2,2,5,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,nsga3,2,5,10.0,2.0,2.0,11.0,0.6060606060606061,0.5,0.5238095238095238,0.47619047619047616,0.5,0.8333333333333334,0.48809523809523814,0.4879500364742666,0.48,0.3580574370197165,0.4879568293427008
f2,rs,2,5,21.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f2,spea2,2,5,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f3,ga,3,5,5.0,14.0,2.0,0.0,0.8333333333333333,0.125,0.0,1.0,0.875,0.7142857142857143,0.9375,0.9354143466934853,0.9047619047619048,0.8451542547285166,0.9116116523516815
f3,ibea,3,5,5.0,13.0,3.0,0.0,0.7692307692307693,0.1875,0.0,1.0,0.8125,0.625,0.90625,0.9013878188659973,0.8571428571428571,0.7905694150420949,0.8674174785275224
f3,nsga2,3,5,1.0,15.0,1.0,4.0,0.28571428571428575,0.0625,0.8,0.2,0.9375,0.5,0.56875,0.4330127018922193,0.7619047619047619,0.6282808624375432,0.43259086630544974
f3,nsga3,3,5,5.0,12.0,4.0,0.0,0.7142857142857143,0.25,0.0,1.0,0.75,0.5555555555555556,0.875,0.8660254037844386,0.8095238095238095,0.7453559924999299,0.8232233047033631
f3,rs,3,5,5.0,11.0,5.0,0.0,0.6666666666666666,0.3125,0.0,1.0,0.6875,0.5,0.84375,0.82915619758885,0.7619047619047619,0.7071067811865476,0.7790291308792039
f3,spea2,3,5,4.0,16.0,0.0,1.0,0.888888888888889,0.0,0.2,0.8,1.0,1.0,0.9,0.8944271909999159,0.9523809523809523,0.9701425001453319,0.8585786437626906
f1,ga,1,6,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,6,6.0,10.0,0.0,5.0,0.7058823529411764,0.0,0.45454545454545453,0.5454545454545454,1.0,1.0,0.7727272727272727,0.7385489458759964,0.7619047619047619,0.816496580927726,0.6785878267333875
f1,nsga2,1,6,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,6,6.0,10.0,0.0,5.0,0.7058823529411764,0.0,0.45454545454545453,0.5454545454545454,1.0,1.0,0.7727272727272727,0.7385489458759964,0.7619047619047619,0.816496580927726,0.6785878267333875
f1,rs,1,6,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,6,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f2,ga,2,6,14.0,4.0,0.0,7.0,0.8,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8333333333333333,0.816496580927726,0.72,0.6030226891555273,0.7642977396044841
f2,ibea,2,6,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,nsga2,2,6,16.0,4.0,0.0,5.0,0.8648648648648648,0.0,0.23809523809523808,0.7619047619047619,1.0,1.0,0.8809523809523809,0.8728715609439694,0.8,0.6666666666666666,0.8316412425746316
f2,nsga3,2,6,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f2,rs,2,6,12.0,2.0,2.0,9.0,0.6857142857142857,0.5,0.42857142857142855,0.5714285714285714,0.5,0.8571428571428571,0.5357142857142857,0.5345224838248488,0.56,0.39477101697586137,0.5343426853426679
f2,spea2,2,6,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f3,ga,3,6,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,ibea,3,6,3.0,15.0,1.0,2.0,0.6666666666666665,0.0625,0.4,0.6,0.9375,0.75,0.76875,0.75,0.8571428571428571,0.8134892168199607,0.7137254377350304
f3,nsga2,3,6,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,nsga3,3,6,5.0,15.0,1.0,0.0,0.9090909090909091,0.0625,0.0,1.0,0.9375,0.8333333333333334,0.96875,0.9682458365518543,0.9523809523809523,0.9128709291752769,0.9558058261758408
f3,rs,3,6,3.0,16.0,0.0,2.0,0.7499999999999999,0.0,0.4,0.6,1.0,1.0,0.8,0.7745966692414834,0.9047619047619048,0.9428090415820634,0.717157287525381
f3,spea2,3,6,5.0,7.0,9.0,0.0,0.5263157894736842,0.5625,0.0,1.0,0.4375,0.35714285714285715,0.71875,0.6614378277661477,0.5714285714285714,0.5976143046671968,0.602252435582567
f1,ga,1,7,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,7,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,7,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,7,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,rs,1,7,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,7,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f2,ga,2,7,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,ibea,2,7,0.0,3.0,1.0,21.0,0.0,0.25,1.0,0.0,0.75,0.0,0.375,0.0,0.12,0.0,0.2711310131443375
f2,nsga2,2,7,20.0,2.0,2.0,1.0,0.9302325581395349,0.5,0.047619047619047616,0.9523809523809523,0.5,0.9090909090909091,0.7261904761904762,0.6900655593423543,0.88,0.7784989441615229,0.6448468121386597
f2,nsga3,2,7,18.0,3.0,1.0,3.0,0.9,0.25,0.14285714285714285,0.8571428571428571,0.75,0.9473684210526315,0.8035714285714286,0.8017837257372731,0.84,0.6882472016116853,0.796397245518011
f2,rs,2,7,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f2,spea2,2,7,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f3,ga,3,7,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,ibea,3,7,5.0,10.0,6.0,0.0,0.625,0.375,0.0,1.0,0.625,0.45454545454545453,0.8125,0.7905694150420949,0.7142857142857143,0.674199862463242,0.7348349570550448
f3,nsga2,3,7,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,nsga3,3,7,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f3,rs,3,7,1.0,13.0,3.0,4.0,0.22222222222222224,0.1875,0.8,0.2,0.8125,0.25,0.50625,0.4031128874149275,0.6666666666666666,0.4372373160976031,0.41898526266539504
f3,spea2,3,7,3.0,16.0,0.0,2.0,0.7499999999999999,0.0,0.4,0.6,1.0,1.0,0.8,0.7745966692414834,0.9047619047619048,0.9428090415820634,0.717157287525381
f1,ga,1,8,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,ibea,1,8,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga2,1,8,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,nsga3,1,8,5.0,10.0,0.0,6.0,0.625,0.0,0.5454545454545454,0.45454545454545453,1.0,1.0,0.7272727272727273,0.674199862463242,0.7142857142857143,0.7905694150420949,0.614305392080065
f1,rs,1,8,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f1,spea2,1,8,0.0,10.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.47619047619047616,0.0,0.29289321881345254
f2,ga,2,8,12.0,2.0,2.0,9.0,0.6857142857142857,0.5,0.42857142857142855,0.5714285714285714,0.5,0.8571428571428571,0.5357142857142857,0.5345224838248488,0.56,0.39477101697586137,0.5343426853426679
f2,ibea,2,8,21.0,2.0,2.0,0.0,0.9545454545454545,0.5,0.0,1.0,0.5,0.9130434782608695,0.75,0.7071067811865476,0.92,0.9555330859059091,0.6464466094067263
f2,nsga2,2,8,3.0,4.0,0.0,18.0,0.25,0.0,0.8571428571428571,0.14285714285714285,1.0,1.0,0.5714285714285714,0.3779644730092272,0.28,0.4264014327112209,0.3939084732686735
f2,nsga3,2,8,21.0,3.0,1.0,0.0,0.9767441860465117,0.25,0.0,1.0,0.75,0.9545454545454546,0.875,0.8660254037844386,0.96,0.9770084209183945,0.8232233047033631
f2,rs,2,8,14.0,4.0,0.0,7.0,0.8,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.8333333333333333,0.816496580927726,0.72,0.6030226891555273,0.7642977396044841
f2,spea2,2,8,0.0,4.0,0.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.16,0.0,0.29289321881345254
f3,ga,3,8,5.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
